composite_error,center_error,pva_magnitude,circular_std,cwce,angular_Zscore,nmse,error_message,g_cosine,glob_inh,w_inh
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.14629259 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.1492986 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.14328657 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.13727455 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.13426854 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.13126253 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.12825651 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.21843687 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.1252505 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.12224449 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.11923848 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.11322645 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.11623246 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.11022044 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.10721443 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.10420842 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.09218437 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.09819639 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.09519038 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.1012024 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.08917836 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.08617234 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.08316633 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.08016032 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.0741483 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.07715431 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.06813627 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.07114228 mV
